Product ASIN,Product Name,Title,Rating,Actual Review
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Perfect Desk for Comfort and Productivity – A Great Buy!,5,"Height adjustment is smooth and quiet, strong build, large surface, easy setup. Great for posture and productivity."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Nice motorised adjustable desk,5,"Smooth height adjustment, sturdy, quiet motor, spacious surface. Needs better cable management. Great value overall."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,The Table,5,"Quality is fantastic, ample size, height adjustable, and fun to assemble. Looks good."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Good quality product,4,"Sturdy build, smooth motor, easy installation, height adjustment works well. Good product for the price."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Good to go one,5,"Solid build, ergonomic, spacious. Perfect for work/study. Stylish and reliable table."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Classy & sturdy product at competitive price tag!,5,"Strong build, silent motor, classy design, great height control. Installation was smooth. Excellent value."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,This Standing Desk is Standing-Ovation Worthy!,5,"Easy to assemble, sturdy, smooth motor, spacious surface. Worth the investment for health and productivity."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Perfect work from home desk,5,"Solid build, clean look, simple and easy to use. Great for home setups."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,BEWARE to those looking to buy from Amazon,5,Initially poor experience with Amazon service. Excellent support from The Sleep Company. Recommend buying directly from them.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Good but overpriced,4,Table is good but expensive for engineered wood.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Great desk with great customer service from brand,5,"Desk is durable and stable with smooth, silent motor. Customer support quickly replaced a damaged part. Very satisfied."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,"Good product, but couldn't delivered in good condition",4,Product works well but arrived damaged.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Sleep Company Height Adjustable Table,5,Relieved back pain by switching between sitting and standing. Smooth operation and great comfort. Highly recommended.
