Product ASIN,Product Name,Title,Rating,Reviews
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Product quality Remote,5,"Excellent product for the money,good picture and color quality.perfect size for your bedroom.But poor quality remote,I am stuck with the TV without a good remote."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Good Product,5,As per price product match the level. Good sound quality and Good picture quality. Update new features.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),1st online TV,4,Good TV.... DELIVERY Was quick n safe... Installation was within 24 hrs.... Product is value for money... Picture n sound quality also good ... Day 1 review
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Nice product at affordable price point,5,Good Quality product. This tv has good video quality and sound. Easy to set-up. Delivered and installed on time.
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),TV without table stand,3,The TV box did not come with a stand. Samsung installation people have to order it from Mumbai which will come after 2 days. The advertisement shows the TV with a stand
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Good,4,"Overall good experience. The picture quality is not amazing, but still good enough. Installation service was good (in Guwahati)"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Sound quality not good,4,Sound quality not that good and has bezels but okay for the price
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), About tv stands?,5,Please respond to my review. And provide the which I want and need
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),4.0 out of 5 stars Good tv,4,"Good tv with price flatuation, bought at above 15000 but after some days its cost show near 13000, overall tv performance is good but we need some time when we power on the tv to use its all functions like YouTube or samsung tv."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),Best product worth value money,4,"Best product worth value money From Samsung but material is all plastic and now feels like screen is also fibre and very light weight but at 10000 worth all these features of smart tv, so go for it. But installation was challenging as only wall mount or tv top table… so wall mount was 400 and TV TOP was 109*2=218.. so paid for tv top though service man asked 400 for either but latter good man as he agreed."
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Not a good picture quality,3,"Picture quality is not good, specially in case of songs and action sequence like speedy scenes, it's really bad"
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black), Beautiful Picture Quality,4,Lack Some Basic Functionality like bluetooth But Still Very fast Operating System and amazing picture and sound quality. It's Good for using as TV and Not Second Screen For Smartphone or laptop
