Product ASIN,Product Name,Title,Rating,Actual Review
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Good one apple,5,"Nice product definitely best and worth big change from the iPhone 15. Worth for the price, camera is excellent, and app UI is also pretty good. Great performance. The feel of the iPhone 16."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","Good product, fast delivery, nice discount",5,"Got iPhone 16, genuine, brand new, and at a great price. I was very concerned about authenticity... I checked everything—serial number, battery cycle etc. Happy with the purchase."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Overall still a good phone,4,"Good camera. Looks stunning in Ultramarine. Battery life and 60Hz display need improvement. iOS 18 had hiccups, but 18.5 improved performance. Heating during gaming. Sound is great."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Value for money,5,"iPhone 16 is brilliant …display, sound, camera, performance are excellent. But battery drain issue still exists."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Nice ?? colour,5,"Nice  colour, nice  speed and easy to handle. Not big, not small – medium size, better choice."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Switching from Android to iOS,5,"As per iPhone standard, best in class."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Excellent,5,Very good quality.
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Decent battery,4,Screen and refresh rate not great vs Android. iOS familiar. Battery is good. Speaker and volume brilliant. Upgraded from 11—big improvement. But sharp edges and metal uncomfortable.
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Reliable single device,4,"Upgraded from iPhone 12. Battery better, faster, better camera. Loving iOS 18. Don't game or watch videos much."
B0DGJHBX5Y,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Disappointed with the Exchange Process,4,"Old iPhone 11 had very minor wear, but delivery agent insisted it was damaged and charged extra. Unfair as same marks wouldn’t show on grey/white phones."
